ID,Experiment Name,BCDCCollection,BossDBURI,SampleType,SpeciesCommonName,SpeciesTaxonomyID,Genotype,SubjectID,Age,Sex,Modality,Technique,Anntomical Structure,ParentSpecimenID,ParentSpecimenType,SubspecimenType,SubspecimenQuantity,Investigator,Description,BICCNDeliveryQuarter,Protocol,Public,Creator,Contributors,DataCreated,DateModified,License,ImageLocation,CoordinateFrame,Version,Channels
s22_WM_100nm_4_,s22_WM_100nm_4_,AAA272,bossdb://lee2022/s22_WM_100nm_4_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA272,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA269,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s22_fov52_030nm_,s22_fov52_030nm_,AAA273,bossdb://lee2022/s22_fov52_030nm_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA273,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA270,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s22_fov52_030nm_1_,s22_fov52_030nm_1_,AAA274,bossdb://lee2022/s22_fov52_030nm_1_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA274,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA271,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s22_fov52_030nm_2_,s22_fov52_030nm_2_,AAA275,bossdb://lee2022/s22_fov52_030nm_2_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA275,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA272,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s22_fov52_030nm_3_,s22_fov52_030nm_3_,AAA276,bossdb://lee2022/s22_fov52_030nm_3_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA276,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA273,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s22_fov52_030nm_4_,s22_fov52_030nm_4_,AAA277,bossdb://lee2022/s22_fov52_030nm_4_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA277,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA274,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s22_fov5_030nm_,s22_fov5_030nm_,AAA278,bossdb://lee2022/s22_fov5_030nm_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA278,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA275,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s22_fov5_030nm_1_,s22_fov5_030nm_1_,AAA279,bossdb://lee2022/s22_fov5_030nm_1_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA279,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA276,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s22_fov5_030nm_2_,s22_fov5_030nm_2_,AAA280,bossdb://lee2022/s22_fov5_030nm_2_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA280,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA277,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s22_fov5_030nm_3_,s22_fov5_030nm_3_,AAA281,bossdb://lee2022/s22_fov5_030nm_3_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA281,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA278,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s22_fov5_030nm_4_,s22_fov5_030nm_4_,AAA282,bossdb://lee2022/s22_fov5_030nm_4_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA282,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA279,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s22_fov5_080nm_,s22_fov5_080nm_,AAA283,bossdb://lee2022/s22_fov5_080nm_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA283,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA280,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s22_fov5_080nm_1_,s22_fov5_080nm_1_,AAA284,bossdb://lee2022/s22_fov5_080nm_1_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA284,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA281,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s22_fov5_080nm_2_,s22_fov5_080nm_2_,AAA285,bossdb://lee2022/s22_fov5_080nm_2_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA285,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA282,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s22_fov5_080nm_3_,s22_fov5_080nm_3_,AAA286,bossdb://lee2022/s22_fov5_080nm_3_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA286,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA283,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s22_fov5_080nm_4_,s22_fov5_080nm_4_,AAA287,bossdb://lee2022/s22_fov5_080nm_4_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA287,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA284,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s22_l3_md_025nm_1_,s22_l3_md_025nm_1_,AAA288,bossdb://lee2022/s22_l3_md_025nm_1_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA288,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA285,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s22_l3_md_025nm_2_,s22_l3_md_025nm_2_,AAA289,bossdb://lee2022/s22_l3_md_025nm_2_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA289,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA286,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s22_l3_md_025nm_3_,s22_l3_md_025nm_3_,AAA290,bossdb://lee2022/s22_l3_md_025nm_3_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA290,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA287,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s22_l3_md_025nm_4_,s22_l3_md_025nm_4_,AAA291,bossdb://lee2022/s22_l3_md_025nm_4_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA291,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA288,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s22_l5_025nm_,s22_l5_025nm_,AAA292,bossdb://lee2022/s22_l5_025nm_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA292,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA289,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s22_l5_025nm_1_,s22_l5_025nm_1_,AAA293,bossdb://lee2022/s22_l5_025nm_1_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA293,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA290,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s22_l5_025nm_2_,s22_l5_025nm_2_,AAA294,bossdb://lee2022/s22_l5_025nm_2_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA294,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA291,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s22_l5_025nm_3_,s22_l5_025nm_3_,AAA295,bossdb://lee2022/s22_l5_025nm_3_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA295,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA292,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s22_l5_025nm_4_,s22_l5_025nm_4_,AAA296,bossdb://lee2022/s22_l5_025nm_4_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA296,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA293,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_hico_md1_030nm_,s24_hico_md1_030nm_,AAA297,bossdb://lee2022/s24_hico_md1_030nm_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA297,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA294,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_hico_md1_030nm_1_,s24_hico_md1_030nm_1_,AAA298,bossdb://lee2022/s24_hico_md1_030nm_1_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA298,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA295,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_hico_md1_030nm_2_,s24_hico_md1_030nm_2_,AAA299,bossdb://lee2022/s24_hico_md1_030nm_2_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA299,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA296,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_hico_md1_030nm_3_,s24_hico_md1_030nm_3_,AAA300,bossdb://lee2022/s24_hico_md1_030nm_3_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA300,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA297,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_hico_md1_030nm_4_,s24_hico_md1_030nm_4_,AAA301,bossdb://lee2022/s24_hico_md1_030nm_4_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA301,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA298,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_hico_md2_030nm_,s24_hico_md2_030nm_,AAA302,bossdb://lee2022/s24_hico_md2_030nm_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA302,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA299,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_hico_md2_030nm_1_,s24_hico_md2_030nm_1_,AAA303,bossdb://lee2022/s24_hico_md2_030nm_1_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA303,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA300,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_hico_md2_030nm_2_,s24_hico_md2_030nm_2_,AAA304,bossdb://lee2022/s24_hico_md2_030nm_2_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA304,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA301,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_hico_md2_030nm_3_,s24_hico_md2_030nm_3_,AAA305,bossdb://lee2022/s24_hico_md2_030nm_3_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA305,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA302,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_hico_md2_030nm_4_,s24_hico_md2_030nm_4_,AAA306,bossdb://lee2022/s24_hico_md2_030nm_4_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA306,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA303,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_hico_md3_030nmm_1_,s24_hico_md3_030nmm_1_,AAA307,bossdb://lee2022/s24_hico_md3_030nmm_1_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA307,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA304,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_hico_md3_030nmm_2_,s24_hico_md3_030nmm_2_,AAA308,bossdb://lee2022/s24_hico_md3_030nmm_2_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA308,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA305,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_hico_md3_030nmm_3_,s24_hico_md3_030nmm_3_,AAA309,bossdb://lee2022/s24_hico_md3_030nmm_3_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA309,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA306,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_hico_md3_030nmm_4_,s24_hico_md3_030nmm_4_,AAA310,bossdb://lee2022/s24_hico_md3_030nmm_4_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA310,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA307,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_hippo_050nm_,s24_hippo_050nm_,AAA311,bossdb://lee2022/s24_hippo_050nm_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA311,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA308,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_hippo_050nm_1_,s24_hippo_050nm_1_,AAA312,bossdb://lee2022/s24_hippo_050nm_1_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA312,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA309,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_hippo_050nm_2_,s24_hippo_050nm_2_,AAA313,bossdb://lee2022/s24_hippo_050nm_2_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA313,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA310,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_hippo_050nm_3_,s24_hippo_050nm_3_,AAA314,bossdb://lee2022/s24_hippo_050nm_3_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA314,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA311,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_hippo_050nm_4_,s24_hippo_050nm_4_,AAA315,bossdb://lee2022/s24_hippo_050nm_4_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA315,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA312,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_hippo_halfDose_050nm_1_,s24_hippo_halfDose_050nm_1_,AAA316,bossdb://lee2022/s24_hippo_halfDose_050nm_1_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA316,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA313,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_hippo_halfDosec_050nm_1_,s24_hippo_halfDosec_050nm_1_,AAA317,bossdb://lee2022/s24_hippo_halfDosec_050nm_1_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA317,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA314,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_hippo_halfDosed_050nm_,s24_hippo_halfDosed_050nm_,AAA318,bossdb://lee2022/s24_hippo_halfDosed_050nm_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA318,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA315,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_hippo_halfDosed_050nm_1_,s24_hippo_halfDosed_050nm_1_,AAA319,bossdb://lee2022/s24_hippo_halfDosed_050nm_1_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA319,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA316,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_hippo_halfDosed_050nm_2_,s24_hippo_halfDosed_050nm_2_,AAA320,bossdb://lee2022/s24_hippo_halfDosed_050nm_2_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA320,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA317,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_hippo_halfDosed_050nm_3_,s24_hippo_halfDosed_050nm_3_,AAA321,bossdb://lee2022/s24_hippo_halfDosed_050nm_3_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA321,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA318,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_hippo_halfDosed_050nm_4_,s24_hippo_halfDosed_050nm_4_,AAA322,bossdb://lee2022/s24_hippo_halfDosed_050nm_4_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA322,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA319,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_top_hd_030nm_,s24_top_hd_030nm_,AAA323,bossdb://lee2022/s24_top_hd_030nm_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA323,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA320,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_top_hd_030nm_1_,s24_top_hd_030nm_1_,AAA324,bossdb://lee2022/s24_top_hd_030nm_1_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA324,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA321,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_top_hd_030nm_2_,s24_top_hd_030nm_2_,AAA325,bossdb://lee2022/s24_top_hd_030nm_2_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA325,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA322,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_top_hd_030nm_3_,s24_top_hd_030nm_3_,AAA326,bossdb://lee2022/s24_top_hd_030nm_3_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA326,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA323,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_top_hd_030nm_4_,s24_top_hd_030nm_4_,AAA327,bossdb://lee2022/s24_top_hd_030nm_4_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA327,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA324,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s24_top_md1_030nm_,s24_top_md1_030nm_,AAA328,bossdb://lee2022/s24_top_md1_030nm_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA328,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA325,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
